age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
46,Self-emp-not-inc,279300,7th-8th,12,Married-civ-spouse,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,3195,304,10,Hungary
29,Self-emp-not-inc,85094,Prof-school,13,Separated,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,0,0,58,Outlying-US(Guam-USVI-etc)
68,Never-worked,102685,Some-college,7,Married-civ-spouse,Priv-house-serv,Other-relative,Asian-Pac-Islander,Male,2449,150,42,Columbia
27,?,-163722,Preschool,3,Separated,Sales,Not-in-family,White,Male,0,39,39,Peru
21,Local-gov,201426,Preschool,7,Married-spouse-absent,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,0,0,62,Hungary
69,State-gov,165349,Preschool,11,Married-civ-spouse,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,5983,31,40,Italy
25,Private,311875,Preschool,10,Married-spouse-absent,Other-service,Unmarried,White,Male,3807,575,27,Honduras
26,Without-pay,203571,Masters,18,Married-AF-spouse,Tech-support,Other-relative,Black,Female,1396,0,40,Trinadad&Tobago
20,Federal-gov,290854,Preschool,12,Never-married,Sales,Not-in-family,Black,Male,3137,346,51,Ecuador
46,Without-pay,107094,1st-4th,5,Married-spouse-absent,Adm-clerical,Husband,White,Female,1662,0,45,Greece
40,Without-pay,274238,HS-grad,14,Never-married,Machine-op-inspct,Not-in-family,Black,Male,4292,0,45,England
31,Without-pay,100298,9th,9,Married-AF-spouse,Other-service,Wife,Other,Male,14796,477,33,Laos
55,Federal-gov,345510,10th,8,Separated,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,0,686,28,Japan
22,Private,165093,HS-grad,13,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,38,England
30,Never-worked,226398,12th,11,Separated,Machine-op-inspct,Not-in-family,White,Male,0,59,55,China
9,Federal-gov,121830,Prof-school,9,Divorced,?,Wife,White,Male,0,10,49,Peru
26,?,172494,Assoc-acdm,12,Widowed,Priv-house-serv,Not-in-family,Black,Male,0,508,50,Nicaragua
31,Without-pay,193264,5th-6th,9,Married-spouse-absent,Protective-serv,Unmarried,White,Female,3643,317,55,Canada
50,?,345025,Prof-school,11,Divorced,Other-service,Wife,Black,Male,5888,622,47,Puerto-Rico
27,Local-gov,216730,Masters,13,Married-civ-spouse,Priv-house-serv,Husband,Other,Male,0,0,43,Cambodia
27,Self-emp-not-inc,163049,7th-8th,11,Married-spouse-absent,?,Not-in-family,Amer-Indian-Eskimo,Male,9177,0,47,Trinadad&Tobago
27,Never-worked,138237,5th-6th,13,Married-civ-spouse,Craft-repair,Husband,Other,Female,2392,518,51,Mexico
39,Self-emp-inc,166174,Some-college,10,Married-civ-spouse,?,Unmarried,Amer-Indian-Eskimo,Female,0,0,52,Nicaragua
35,Local-gov,155133,7th-8th,7,Married-AF-spouse,Prof-specialty,Husband,White,Female,0,1335,26,Yugoslavia
18,Never-worked,397273,Some-college,12,Divorced,?,Own-child,Amer-Indian-Eskimo,Female,0,306,49,Hungary
49,Without-pay,137892,10th,9,Separated,Sales,Unmarried,Black,Male,4354,658,52,Taiwan
18,Without-pay,70335,10th,11,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,1299,710,37,Taiwan
25,State-gov,241261,Assoc-voc,14,Married-AF-spouse,Tech-support,Own-child,White,Female,0,253,49,Hungary
18,Private,90038,Bachelors,14,Married-AF-spouse,Handlers-cleaners,Unmarried,White,Female,9074,0,51,United-States
41,Federal-gov,192503,Some-college,11,Separated,Adm-clerical,Not-in-family,Black,Female,0,201,42,China
17,Self-emp-not-inc,233765,Masters,10,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,3307,0,46,Greece
56,Without-pay,122110,Preschool,7,Widowed,Armed-Forces,Own-child,Black,Male,2486,117,29,Cuba
37,Without-pay,426667,Preschool,10,Divorced,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Male,10290,541,45,Columbia
45,Self-emp-not-inc,236632,11th,11,Married-civ-spouse,Armed-Forces,Not-in-family,Asian-Pac-Islander,Female,2525,374,41,Ecuador
28,Local-gov,252574,HS-grad,8,Married-civ-spouse,Protective-serv,Other-relative,White,Male,0,0,44,Puerto-Rico
41,Local-gov,201558,Assoc-acdm,13,Married-spouse-absent,Craft-repair,Own-child,Other,Male,0,289,46,Iran
29,State-gov,67487,Doctorate,14,Married-spouse-absent,Craft-repair,Wife,Amer-Indian-Eskimo,Male,0,118,26,Yugoslavia
15,Without-pay,62956,1st-4th,11,Married-AF-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,9416,0,57,Portugal
22,?,168560,5th-6th,7,Never-married,?,Own-child,Black,Male,12473,0,55,Honduras
45,Federal-gov,247600,Some-college,10,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,0,334,44,Columbia
50,Federal-gov,278747,12th,10,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Male,0,0,45,Scotland
20,Local-gov,146483,Assoc-acdm,10,Separated,Other-service,Unmarried,White,Male,0,855,17,Dominican-Republic
34,Private,331876,Some-college,7,Married-civ-spouse,Priv-house-serv,Own-child,Black,Male,0,0,43,?
59,Never-worked,394186,7th-8th,10,Married-AF-spouse,Farming-fishing,Not-in-family,White,Female,0,11,60,Hong
37,?,314220,5th-6th,9,Married-civ-spouse,Armed-Forces,Husband,Black,Female,0,408,37,Yugoslavia
30,Private,486041,Bachelors,12,Separated,?,Wife,Other,Male,0,0,48,Haiti
60,Private,170125,1st-4th,7,Married-spouse-absent,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,65,Haiti
30,Never-worked,203288,12th,9,Married-AF-spouse,Tech-support,Own-child,Black,Female,0,4,28,Canada
35,Federal-gov,-15015,Assoc-voc,7,Married-AF-spouse,Handlers-cleaners,Unmarried,White,Male,0,156,47,Laos
44,Never-worked,80770,12th,6,Divorced,Exec-managerial,Other-relative,Other,Female,0,499,20,Puerto-Rico
48,Private,143814,Bachelors,11,Married-spouse-absent,?,Not-in-family,Black,Male,0,351,63,Italy
44,Never-worked,19060,12th,11,Never-married,Prof-specialty,Wife,White,Male,4022,187,27,Laos
46,Self-emp-not-inc,281561,11th,11,Married-AF-spouse,Machine-op-inspct,Own-child,White,Female,5961,53,45,Ecuador
18,Federal-gov,306548,Preschool,11,Divorced,?,Own-child,White,Female,847,60,37,Germany
43,Federal-gov,227578,9th,11,Divorced,Tech-support,Unmarried,Black,Male,0,0,45,France
50,Self-emp-inc,277662,12th,11,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,390,48,Taiwan
37,Local-gov,222694,Some-college,13,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,9657,219,59,Laos
49,Private,260154,10th,11,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Female,4869,366,41,Ecuador
51,?,-46802,7th-8th,11,Never-married,Other-service,Husband,White,Male,8465,22,36,Peru
35,Without-pay,277738,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,6310,0,27,Poland
29,Self-emp-inc,256574,Assoc-voc,11,Divorced,Tech-support,Unmarried,Other,Female,0,216,51,Peru
50,State-gov,329405,9th,8,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,2,Poland
47,?,176609,Masters,5,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,2582,0,37,Ireland
51,State-gov,196411,HS-grad,11,Never-married,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,0,291,50,Trinadad&Tobago
51,?,222564,Bachelors,9,Divorced,?,Own-child,Amer-Indian-Eskimo,Male,0,100,30,Hungary
49,Local-gov,191635,Some-college,6,Married-civ-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0,314,50,Taiwan
28,Private,131919,Some-college,8,Separated,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,6450,77,28,Holand-Netherlands
26,?,338861,Bachelors,8,Never-married,Armed-Forces,Husband,Amer-Indian-Eskimo,Female,0,524,39,Ireland
48,?,132609,5th-6th,12,Married-civ-spouse,Tech-support,Wife,Other,Female,4242,0,53,Taiwan
57,Without-pay,38020,Bachelors,14,Separated,Protective-serv,Husband,Amer-Indian-Eskimo,Female,0,512,41,Laos
41,Self-emp-inc,231982,Some-college,11,Separated,Adm-clerical,Husband,Asian-Pac-Islander,Female,11394,23,62,Laos
48,Local-gov,152627,Some-college,10,Divorced,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,7918,472,33,Mexico
43,?,291574,Masters,10,Married-AF-spouse,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,10162,0,29,Outlying-US(Guam-USVI-etc)
25,Without-pay,293064,HS-grad,10,Divorced,Handlers-cleaners,Own-child,Other,Female,0,0,46,Outlying-US(Guam-USVI-etc)
43,Local-gov,246610,Some-college,7,Never-married,Armed-Forces,Unmarried,White,Female,0,476,46,Iran
42,Local-gov,343045,Assoc-acdm,8,Married-spouse-absent,Other-service,Wife,Amer-Indian-Eskimo,Male,3092,0,41,France
55,Self-emp-inc,117642,Preschool,7,Widowed,Protective-serv,Other-relative,Amer-Indian-Eskimo,Male,0,0,38,Puerto-Rico
33,Self-emp-inc,122789,5th-6th,9,Separated,Prof-specialty,Own-child,Asian-Pac-Islander,Female,520,387,26,Ireland
43,Federal-gov,103933,7th-8th,16,Married-AF-spouse,Adm-clerical,Own-child,White,Female,0,0,48,Mexico
36,State-gov,109845,12th,12,Separated,Protective-serv,Not-in-family,Other,Female,0,80,63,Cambodia
29,Federal-gov,197131,12th,5,Married-AF-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,39,India
51,State-gov,83233,12th,8,Married-AF-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Female,0,0,51,Germany
28,State-gov,48589,9th,9,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,3037,25,33,Poland
48,Self-emp-not-inc,-53905,5th-6th,11,Divorced,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Male,0,0,52,Hong
43,Self-emp-not-inc,141121,Assoc-acdm,3,Married-AF-spouse,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,14760,433,59,Trinadad&Tobago
37,?,393361,Doctorate,9,Widowed,Prof-specialty,Not-in-family,Other,Female,1191,0,41,Laos
46,Never-worked,91692,12th,5,Divorced,?,Wife,Black,Male,2407,330,33,Taiwan
41,Private,300355,7th-8th,10,Married-AF-spouse,Tech-support,Own-child,White,Female,0,182,62,Portugal
45,Never-worked,130780,Assoc-acdm,11,Never-married,Exec-managerial,Own-child,Black,Female,6708,210,48,China
23,?,225225,Assoc-acdm,10,Married-spouse-absent,?,Other-relative,Other,Female,0,0,36,United-States
46,Without-pay,106427,Masters,7,Married-civ-spouse,Transport-moving,Wife,Asian-Pac-Islander,Female,0,351,37,Guatemala
12,Never-worked,88880,11th,14,Widowed,Adm-clerical,Other-relative,Black,Female,0,110,42,Holand-Netherlands
22,Private,366169,HS-grad,9,Separated,Transport-moving,Wife,Other,Male,0,0,22,South
21,Never-worked,96093,9th,3,Married-civ-spouse,Transport-moving,Wife,Amer-Indian-Eskimo,Male,0,0,29,Japan
34,Local-gov,239234,Prof-school,6,Separated,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,833,0,45,Peru
39,Self-emp-not-inc,236711,Preschool,5,Divorced,Handlers-cleaners,Own-child,Black,Female,0,458,48,Haiti
62,State-gov,160477,Assoc-voc,10,Never-married,?,Unmarried,Asian-Pac-Islander,Male,4163,0,18,Japan
49,Local-gov,82987,HS-grad,11,Married-AF-spouse,Machine-op-inspct,Husband,White,Male,3032,417,30,Guatemala
17,State-gov,125937,12th,11,Separated,Sales,Unmarried,Other,Male,0,461,19,Poland
25,Federal-gov,200304,5th-6th,14,Divorced,Other-service,Wife,Other,Female,0,761,36,India
56,Private,-5957,HS-grad,12,Never-married,Tech-support,Not-in-family,Other,Female,0,770,68,Laos
23,Without-pay,141675,Preschool,6,Never-married,Other-service,Own-child,Black,Female,0,108,37,Poland
59,Self-emp-not-inc,218089,Assoc-voc,10,Separated,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,5908,0,58,Hong
42,Local-gov,171737,1st-4th,13,Married-spouse-absent,Priv-house-serv,Wife,Amer-Indian-Eskimo,Female,0,0,32,Scotland
53,Federal-gov,302794,1st-4th,10,Married-spouse-absent,Farming-fishing,Unmarried,Asian-Pac-Islander,Male,0,0,46,Portugal
50,Local-gov,36007,12th,12,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Male,0,448,36,Guatemala
32,Federal-gov,300715,12th,8,Never-married,Other-service,Unmarried,White,Male,2081,143,41,Peru
16,Self-emp-not-inc,156944,Doctorate,9,Married-spouse-absent,Priv-house-serv,Wife,White,Female,0,0,30,Philippines
25,State-gov,191525,Masters,11,Never-married,Sales,Husband,Amer-Indian-Eskimo,Male,8092,0,53,Hungary
51,Self-emp-not-inc,91032,Doctorate,8,Married-AF-spouse,Farming-fishing,Husband,Other,Male,5391,473,3,Columbia
26,Never-worked,179068,Doctorate,12,Married-AF-spouse,?,Unmarried,Amer-Indian-Eskimo,Female,10244,0,20,Trinadad&Tobago
58,Local-gov,330993,Assoc-voc,5,Married-spouse-absent,Exec-managerial,Own-child,Other,Female,5722,68,42,Hungary
31,Self-emp-inc,129517,Bachelors,9,Married-spouse-absent,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,13466,0,55,Nicaragua
44,?,198487,1st-4th,7,Widowed,Adm-clerical,Other-relative,Other,Male,0,499,49,Yugoslavia
27,Private,-36500,Doctorate,9,Married-AF-spouse,Transport-moving,Wife,Asian-Pac-Islander,Female,0,0,43,Cuba
47,?,427865,Masters,7,Married-civ-spouse,Priv-house-serv,Other-relative,Other,Male,2862,25,41,Nicaragua
32,Never-worked,-11051,11th,11,Widowed,?,Unmarried,Other,Female,1578,81,38,Hong
17,Private,203989,HS-grad,6,Married-spouse-absent,Transport-moving,Own-child,Other,Male,0,123,40,Portugal
39,Federal-gov,62779,HS-grad,14,Married-AF-spouse,Exec-managerial,Own-child,Other,Female,12019,829,51,Puerto-Rico
52,?,233157,7th-8th,9,Married-AF-spouse,?,Own-child,Asian-Pac-Islander,Male,0,0,45,Nicaragua
37,?,225664,Preschool,8,Separated,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,9674,0,27,China
35,?,238877,7th-8th,7,Married-AF-spouse,Craft-repair,Husband,Black,Female,0,118,36,Taiwan
50,State-gov,196803,HS-grad,15,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,0,802,32,Poland
71,?,103106,Some-college,10,Married-civ-spouse,Other-service,Not-in-family,Other,Female,0,100,50,China
74,Private,123932,Preschool,8,Married-spouse-absent,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,0,0,63,Portugal
28,Without-pay,282579,5th-6th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Other,Male,384,665,37,Portugal
53,Without-pay,245419,Preschool,10,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Male,11328,307,57,China
62,Self-emp-not-inc,263223,1st-4th,8,Separated,Priv-house-serv,Wife,Other,Male,3804,571,44,Hong
49,?,199715,Masters,10,Widowed,Prof-specialty,Other-relative,Black,Female,13641,413,52,El-Salvador
42,Without-pay,215052,9th,13,Married-AF-spouse,Sales,Wife,Other,Female,0,0,37,Haiti
46,Self-emp-inc,366088,Prof-school,13,Widowed,Machine-op-inspct,Own-child,Other,Male,5194,0,36,Nicaragua
32,Private,181282,9th,14,Married-AF-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,39,Puerto-Rico
27,Private,93106,Assoc-acdm,13,Never-married,Protective-serv,Husband,Black,Female,0,51,18,Cambodia
32,Never-worked,201954,7th-8th,8,Married-AF-spouse,Other-service,Unmarried,Asian-Pac-Islander,Female,15347,92,56,Greece
57,Self-emp-inc,206727,Bachelors,7,Widowed,Priv-house-serv,Not-in-family,Black,Female,0,54,49,England
42,State-gov,234789,Assoc-acdm,10,Widowed,Tech-support,Own-child,Asian-Pac-Islander,Male,167,152,26,Jamaica
61,Self-emp-not-inc,132215,Assoc-acdm,8,Separated,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,13237,597,12,Hong
49,Never-worked,388455,9th,9,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,0,440,36,Portugal
53,Never-worked,89956,11th,13,Never-married,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,0,583,25,Philippines
31,Local-gov,219431,1st-4th,9,Married-AF-spouse,Protective-serv,Other-relative,Asian-Pac-Islander,Female,1947,16,62,Philippines
44,State-gov,152990,7th-8th,9,Married-civ-spouse,?,Unmarried,Amer-Indian-Eskimo,Male,0,0,48,Italy
37,Self-emp-not-inc,206410,Masters,10,Divorced,Protective-serv,Unmarried,Black,Male,12680,64,38,India
58,Local-gov,139489,Prof-school,7,Separated,Sales,Own-child,Amer-Indian-Eskimo,Male,0,65,45,Japan
61,State-gov,166781,1st-4th,9,Married-civ-spouse,Protective-serv,Other-relative,White,Male,12079,97,41,Cuba
46,Never-worked,-34361,9th,15,Separated,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,5790,0,58,Mexico
58,Federal-gov,211679,7th-8th,12,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,5535,0,39,Scotland
50,Never-worked,65378,HS-grad,5,Separated,Machine-op-inspct,Husband,Black,Female,0,0,41,Cuba
19,Local-gov,222034,9th,12,Divorced,Handlers-cleaners,Other-relative,Other,Female,0,855,52,Germany
49,Local-gov,246583,Prof-school,6,Never-married,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,4376,0,47,Vietnam
21,Federal-gov,195281,Prof-school,12,Never-married,Tech-support,Wife,White,Female,0,0,60,Italy
29,Without-pay,22644,Bachelors,11,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Male,9441,0,41,Cambodia
46,Self-emp-not-inc,63416,Bachelors,10,Married-spouse-absent,Protective-serv,Other-relative,Other,Male,8171,527,54,Puerto-Rico
31,Self-emp-inc,261367,12th,14,Divorced,Protective-serv,Own-child,Amer-Indian-Eskimo,Female,0,141,36,Puerto-Rico
37,State-gov,187086,5th-6th,7,Married-AF-spouse,Machine-op-inspct,Wife,White,Female,0,116,30,Philippines
55,State-gov,216894,5th-6th,7,Widowed,Handlers-cleaners,Husband,Other,Female,5488,582,39,Japan
43,Private,128837,11th,8,Widowed,Machine-op-inspct,Not-in-family,Other,Female,0,299,41,Columbia
33,?,206013,Some-college,7,Married-AF-spouse,Sales,Unmarried,Black,Female,0,0,54,Guatemala
34,?,261535,Bachelors,7,Never-married,Protective-serv,Not-in-family,Black,Female,10365,8,51,Germany
16,?,90277,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,10,38,France
35,Self-emp-not-inc,363792,Assoc-voc,9,Divorced,Craft-repair,Husband,Asian-Pac-Islander,Male,0,303,51,Hong
53,Never-worked,337262,12th,12,Separated,Armed-Forces,Not-in-family,Asian-Pac-Islander,Male,4083,0,29,Hungary
50,State-gov,102343,10th,11,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,35,Philippines
51,State-gov,324258,5th-6th,7,Married-AF-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,0,296,35,Portugal
27,?,172918,Assoc-acdm,9,Married-spouse-absent,?,Other-relative,White,Female,0,0,28,Columbia
49,Local-gov,149329,9th,10,Married-AF-spouse,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,160,55,Hungary
48,Never-worked,181271,1st-4th,12,Divorced,Tech-support,Wife,Amer-Indian-Eskimo,Male,0,343,46,Laos
46,Self-emp-not-inc,301549,Masters,5,Married-spouse-absent,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,15945,0,48,Hungary
63,Federal-gov,163384,5th-6th,10,Widowed,?,Wife,Asian-Pac-Islander,Female,0,0,39,Greece
52,Federal-gov,188311,10th,10,Divorced,Farming-fishing,Husband,Other,Male,3577,998,34,Thailand
46,?,142668,12th,13,Married-AF-spouse,Sales,Husband,Asian-Pac-Islander,Female,3523,777,26,Scotland
17,Local-gov,174931,Bachelors,7,Widowed,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,12408,448,37,Yugoslavia
37,Local-gov,97924,7th-8th,10,Never-married,Sales,Not-in-family,Other,Female,0,275,30,Ecuador
34,Without-pay,138992,Prof-school,8,Separated,Sales,Other-relative,Asian-Pac-Islander,Male,0,0,59,Holand-Netherlands
40,Never-worked,325184,Prof-school,6,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,6361,323,38,Philippines
25,Local-gov,156774,10th,11,Divorced,Farming-fishing,Own-child,White,Female,6319,106,57,Scotland
43,Self-emp-not-inc,288453,Some-college,11,Married-spouse-absent,Armed-Forces,Husband,Asian-Pac-Islander,Female,471,0,28,Germany
37,Federal-gov,154626,9th,8,Married-AF-spouse,Tech-support,Other-relative,White,Female,9760,770,48,Taiwan
54,Local-gov,106231,HS-grad,9,Separated,Farming-fishing,Own-child,White,Male,5876,95,53,Cambodia
28,Never-worked,65240,Doctorate,7,Married-AF-spouse,Protective-serv,Husband,Asian-Pac-Islander,Female,9696,0,19,Trinadad&Tobago
60,State-gov,148396,7th-8th,8,Divorced,Craft-repair,Own-child,Other,Female,6757,0,36,China
36,Without-pay,167198,9th,11,Never-married,Protective-serv,Husband,White,Male,123,264,31,Canada
44,Private,169781,Preschool,6,Married-AF-spouse,Transport-moving,Other-relative,Black,Male,0,248,41,Taiwan
37,Without-pay,323033,Preschool,8,Married-AF-spouse,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,2871,90,28,England
53,?,187998,Preschool,8,Married-civ-spouse,?,Unmarried,Amer-Indian-Eskimo,Male,0,0,50,Philippines
18,Federal-gov,225540,11th,10,Separated,Priv-house-serv,Unmarried,Black,Male,0,191,56,Holand-Netherlands
40,Self-emp-not-inc,331512,11th,8,Separated,Other-service,Wife,Black,Female,5482,0,41,Vietnam
59,Self-emp-not-inc,133665,1st-4th,13,Married-spouse-absent,?,Wife,Asian-Pac-Islander,Male,11402,336,27,Holand-Netherlands
37,?,375538,Some-college,13,Married-civ-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,2273,10,50,Mexico
42,Self-emp-inc,237882,7th-8th,9,Separated,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,6525,35,46,Hong
28,State-gov,367951,Prof-school,7,Separated,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,0,0,23,Laos
38,State-gov,399023,Masters,8,Separated,Tech-support,Unmarried,White,Female,1600,0,59,Scotland
33,Without-pay,179383,Bachelors,4,Married-spouse-absent,Transport-moving,Wife,White,Male,0,5,58,Mexico
40,?,271610,1st-4th,7,Married-spouse-absent,Farming-fishing,Husband,Other,Female,2300,408,44,Jamaica
38,Private,293023,Prof-school,10,Married-spouse-absent,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,0,0,44,United-States
25,Self-emp-not-inc,123327,Prof-school,8,Widowed,Exec-managerial,Wife,Black,Female,0,717,48,Holand-Netherlands
40,Never-worked,98129,11th,8,Divorced,?,Other-relative,Other,Male,1443,300,21,Hungary
44,Federal-gov,210438,7th-8th,11,Widowed,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,1841,0,28,India
40,State-gov,154688,10th,9,Separated,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,0,0,48,Japan
26,Private,112135,Doctorate,11,Divorced,Adm-clerical,Wife,White,Male,1772,18,70,Portugal
23,Private,283215,5th-6th,10,Never-married,Sales,Other-relative,White,Male,0,17,34,United-States
